ID,run,proportion_NA
Uts_14_2y_0092,20200117N,0.1590909090909091
Uts_14_2y_0145,20200117N,0.05113636363636364
Uts_15_0y_0011,20200219N,0.06818181818181818
Uts_15_0y_0013,20200219N,0.1590909090909091
Uts_15_0y_0019,20200219N,0.5397727272727273
Uts_15_0y_0021,20200219N,0.19886363636363635
Uts_15_0y_0022,20200219N,0.06818181818181818
Uts_15_0y_0027,20200219N,0.09090909090909091
Uts_15_0y_0029,20200219N,0.3465909090909091
Uts_15_0y_0030,20200219N,0.1875
Uts_15_0y_0031,20200219N,0.11931818181818182
Uts_15_0y_0037,20200219N,0.11363636363636363
Uts_15_0y_0054,20200219N,0.13068181818181818
Uts_15_0y_0061,20200219N,0.06818181818181818
Uts_15_0y_0091,20200219N,0.1875
Uts_15_0y_0251,20200219N,0.07386363636363637
Uts_15_0y_0253,20200219N,0.05113636363636364
Uts_15_0y_0258,20200219N,0.0625
Uts_15_0y_0275,20200219N,0.1590909090909091
Uts_15_0y_0293,20200219N,0.4602272727272727
Uts_15_0y_0322,20200219N,0.05113636363636364
Uts_15_0y_0362,20200219N,0.056818181818181816
Uts_15_0y_0425,20200219N,0.14204545454545456
Uts_15_0y_0427,20200219N,0.19886363636363635
Uts_15_0y_0430,20200219N,0.05113636363636364
Uts_15_0y_0433,20200219N,0.07386363636363637
Uts_15_0y_0436,20200219N,0.05113636363636364
Uts_15_0y_0444,20200219N,0.05113636363636364
Uts_15_0y_0487,20200219N,0.0625
Uts_15_0y_0491,20200219N,0.09090909090909091
Uts_15_0y_0492,20200219N,0.05113636363636364
Uts_15_0y_0493,20200219N,0.125
Uts_15_0y_0494,20200219N,0.3693181818181818
Uts_15_0y_0495,20200219N,0.3352272727272727
Uts_15_0y_0501,20200219N,0.125
Uts_15_0y_0502,20200219N,0.0625
Uts_15_0y_0503,20200219N,0.06818181818181818
Uts_15_0y_0506,20200219N,0.10795454545454546
