id,offspring_year,offspring_age_class,n_offspring,parent_type,parent_year,parent_age_class
NA,18,A,92,sire,NA,NA
NA,18,0y,797,sire,NA,NA
NA,18,1y,391,sire,NA,NA
NA,18,2-3y,138,sire,NA,NA
NA,19,0y,1156,sire,NA,NA
NA,19,1y,221,sire,NA,NA
NA,19,2-3y,181,sire,NA,NA
Uts_11A_51,16,A,2,sire,11,A
Uts_11A_51,12,0y,3,sire,11,A
Uts_11A_51,13,1y,2,sire,11,A
Uts_11A_49,16,A,1,sire,11,A
Uts_11A_49,12,0y,1,sire,11,A
Uts_11A_49,14,1y,1,sire,11,A
Uts_11A_12,16,A,1,sire,11,A
Uts_11A_12,12,0y,16,sire,11,A
Uts_11A_12,13,1y,11,sire,11,A
Uts_11A_12,14,2y,1,sire,11,A
Uts_11A_15,16,A,1,sire,11,A
Uts_11A_15,12,0y,9,sire,11,A
Uts_11A_15,13,1y,4,sire,11,A
Uts_11A_15,14,2y,1,sire,11,A
Uts_13A_024,16,A,2,sire,13,A
Uts_13A_024,18,A,1,sire,13,A
Uts_13A_024,12,0y,15,sire,13,A
Uts_13A_024,13,1y,21,sire,13,A
Uts_13A_024,14,0y,96,sire,13,A
Uts_13A_024,14,2y,1,sire,13,A
Uts_13A_024,15,1y,28,sire,13,A
Uts_13A_043,16,A,1,sire,13,A
Uts_13A_043,16,3y,4,sire,13,A
Uts_13A_043,18,A,6,sire,13,A
Uts_13A_043,12,0y,7,sire,13,A
Uts_13A_043,13,1y,5,sire,13,A
Uts_13A_043,14,0y,112,sire,13,A
Uts_13A_043,15,1y,43,sire,13,A
Uts_13A_043,15,2y,1,sire,13,A
Uts_11A_06,16,A,1,sire,11,A
Uts_11A_06,12,0y,8,sire,11,A
Uts_11A_06,13,1y,11,sire,11,A
Uts_11A_06,14,2y,5,sire,11,A
Uts_11A_19,16,A,1,sire,11,A
Uts_11A_19,17,A,1,sire,11,A
Uts_11A_19,12,0y,1,sire,11,A
Uts_11A_19,13,1y,5,sire,11,A
Uts_11A_17,16,A,1,sire,11,A
Uts_11A_17,17,A,1,sire,11,A
Uts_11A_17,12,0y,12,sire,11,A
Uts_11A_17,13,1y,15,sire,11,A
Uts_11A_17,14,2y,5,sire,11,A
Uts_11A_17,19,0y,1,sire,11,A
Uts_13A_029,16,A,1,sire,13,A
Uts_13A_029,18,A,2,sire,13,A
Uts_13A_029,12,0y,1,sire,13,A
Uts_13A_029,13,1y,1,sire,13,A
Uts_13A_029,14,0y,19,sire,13,A
Uts_13A_029,14,2pp,1,sire,13,A
Uts_13A_029,15,1y,9,sire,13,A
Uts_11A_36,16,A,1,sire,11,A
Uts_11A_36,17,A,2,sire,11,A
Uts_11A_36,12,0y,37,sire,11,A
Uts_11A_36,13,1y,31,sire,11,A
Uts_11A_36,14,2y,2,sire,11,A
Uts_11A_36,19,0y,1,sire,11,A
Uts_11A_11,16,A,1,sire,11,A
Uts_11A_11,12,0y,1,sire,11,A
Uts_11A_11,13,1y,2,sire,11,A
Uts_11A_08,17,A,1,sire,11,A
Uts_11A_08,12,0y,1,sire,11,A
Uts_11A_08,13,1y,2,sire,11,A
Uts_11A_07,17,A,2,sire,11,A
Uts_11A_07,12,0y,6,sire,11,A
Uts_11A_07,13,1y,16,sire,11,A
Uts_11A_07,14,2y,4,sire,11,A
Uts_12A_015,17,A,2,sire,12,A
Uts_12A_015,14,1y,4,sire,12,A
Uts_12A_036,17,A,1,sire,12,A
