id,dam,sire,birth_year,gender
gp*3,NA,NA,0,unknown
gp#3,NA,NA,2,unknown
gp*85,NA,NA,0,unknown
gp#86,NA,NA,2,unknown
gp*21,NA,NA,0,unknown
gp*68,NA,NA,0,unknown
gp#151,NA,NA,2,unknown
gp*55,NA,NA,0,unknown
gp*118,NA,NA,0,unknown
gp#4,NA,NA,2,unknown
gp*123,NA,NA,0,unknown
gp*18,NA,NA,0,unknown
gp#19,NA,NA,2,unknown
gp#130,NA,NA,2,unknown
gp*90,NA,NA,0,unknown
gp#87,NA,NA,2,unknown
gp#96,NA,NA,2,unknown
gp#164,NA,NA,2,unknown
gp*155,NA,NA,0,unknown
gp#31,NA,NA,2,unknown
gp*44,NA,NA,0,unknown
gp#39,NA,NA,2,unknown
gp#119,NA,NA,2,unknown
gp*186,NA,NA,0,unknown
gp*32,NA,NA,0,unknown
gp#71,NA,NA,2,unknown
gp*172,NA,NA,0,unknown
gp#174,NA,NA,2,unknown
gp*4,NA,NA,0,unknown
gp*147,NA,NA,0,unknown
gp*47,NA,NA,0,unknown
gp*129,NA,NA,0,unknown
gp*171,NA,NA,0,unknown
gp*130,NA,NA,0,unknown
gp#133,NA,NA,2,unknown
gp#23,NA,NA,2,unknown
gp*154,NA,NA,0,unknown
gp*177,NA,NA,0,unknown
gp#191,NA,NA,2,unknown
gp*22,NA,NA,0,unknown
gp*168,NA,NA,0,unknown
gp#6,NA,NA,2,unknown
gp#135,NA,NA,2,unknown
gp*5,NA,NA,0,unknown
gp#5,NA,NA,2,unknown
gp*6,NA,NA,0,unknown
gp*61,NA,NA,0,unknown
gp#159,NA,NA,2,unknown
gp*164,NA,NA,0,unknown
gp#165,NA,NA,2,unknown
gp*93,NA,NA,0,unknown
gp#63,NA,NA,2,unknown
gp#89,NA,NA,2,unknown
gp*122,NA,NA,0,unknown
gp#125,NA,NA,2,unknown
gp*7,NA,NA,0,unknown
gp#157,NA,NA,2,unknown
gp#40,NA,NA,2,unknown
gp#7,NA,NA,2,unknown
gp*71,NA,NA,0,unknown
gp#110,NA,NA,2,unknown
gp*153,NA,NA,0,unknown
gp#118,NA,NA,2,unknown
gp*60,NA,NA,0,unknown
gp#56,NA,NA,2,unknown
gp#190,NA,NA,2,unknown
gp#73,NA,NA,2,unknown
gp#144,NA,NA,2,unknown
gp#117,NA,NA,2,unknown
gp*45,NA,NA,0,unknown
gp#131,NA,NA,2,unknown
gp*66,NA,NA,0,unknown
gp#8,NA,NA,2,unknown
gp#100,NA,NA,2,unknown
gp#66,NA,NA,2,unknown
gp*191,NA,NA,0,unknown
gp*30,NA,NA,0,unknown
gp#54,NA,NA,2,unknown
gp#46,NA,NA,2,unknown
gp#109,NA,NA,2,unknown
gp*25,NA,NA,0,unknown
gp#196,NA,NA,2,unknown
gp#26,NA,NA,2,unknown
gp*151,NA,NA,0,unknown
gp#154,NA,NA,2,unknown
gp*46,NA,NA,0,unknown
gp#42,NA,NA,2,unknown
gp*79,NA,NA,0,unknown
gp#172,NA,NA,2,unknown
gp*109,NA,NA,0,unknown
gp*8,NA,NA,0,unknown
gp*26,NA,NA,0,unknown
gp*157,NA,NA,0,unknown
gp#178,NA,NA,2,unknown
gp#27,NA,NA,2,unknown
gp#163,NA,NA,2,unknown
gp*193,NA,NA,0,unknown
gp#9,NA,NA,2,unknown
gp*35,NA,NA,0,unknown
gp#13,NA,NA,2,unknown
gp#103,NA,NA,2,unknown
gp*27,NA,NA,0,unknown
gp*12,NA,NA,0,unknown
gp*9,NA,NA,0,unknown
gp*188,NA,NA,0,unknown
gp*106,NA,NA,0,unknown
gp*64,NA,NA,0,unknown
gp#161,NA,NA,2,unknown
gp#10,NA,NA,2,unknown
gp#64,NA,NA,2,unknown
gp*115,NA,NA,0,unknown
gp#101,NA,NA,2,unknown
gp*162,NA,NA,0,unknown
gp*87,NA,NA,0,unknown
gp#82,NA,NA,2,unknown
gp*40,NA,NA,0,unknown
gp#76,NA,NA,2,unknown
gp#188,NA,NA,2,unknown
gp*70,NA,NA,0,unknown
gp#94,NA,NA,2,unknown
gp*104,NA,NA,0,unknown
gp#146,NA,NA,2,unknown
gp*158,NA,NA,0,unknown
gp*165,NA,NA,0,unknown
gp*10,NA,NA,0,unknown
gp#17,NA,NA,2,unknown
gp*99,NA,NA,0,unknown
gp#95,NA,NA,2,unknown
gp*141,NA,NA,0,unknown
gp*145,NA,NA,0,unknown
gp#153,NA,NA,2,unknown
gp#152,NA,NA,2,unknown
gp#167,NA,NA,2,unknown
gp#189,NA,NA,2,unknown
gp*140,NA,NA,0,unknown
gp#41,NA,NA,2,unknown
gp*149,NA,NA,0,unknown
gp#52,NA,NA,2,unknown
gp#16,NA,NA,2,unknown
gp*11,NA,NA,0,unknown
gp#11,NA,NA,2,unknown
gp*125,NA,NA,0,unknown
gp#127,NA,NA,2,unknown
gp*166,NA,NA,0,unknown
gp*143,NA,NA,0,unknown
gp#126,NA,NA,2,unknown
gp*16,NA,NA,0,unknown
gp*124,NA,NA,0,unknown
gp#169,NA,NA,2,unknown
gp*167,NA,NA,0,unknown
gp*119,NA,NA,0,unknown
gp#120,NA,NA,2,unknown
gp#139,NA,NA,2,unknown
gp#67,NA,NA,2,unknown
gp*13,NA,NA,0,unknown
gp#12,NA,NA,2,unknown
gp#18,NA,NA,2,unknown
