OffspID,Dam,Sire,DamOrigin,SireOrigin,DamNatalPop,SireNatalPop
Uts_14_0y_0928,Uts_13A_033,usM2013,local,NA,TenoMainstem,NA
Uts_14_0y_0929,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0930,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0931,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_0932,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0933,usF2013,NA,NA,NA,NA,NA
Uts_14_0y_0934,Uts_13A_065,Uts_13A_043,local,local,TenoMainstem,TenoMainstem
Uts_14_0y_0935,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_0936,usF2013,NA,NA,NA,NA,NA
Uts_14_0y_0937,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_0938,usF2013,Uts_13A_016,NA,local,NA,TenoMainstem
Uts_14_0y_0939,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0940,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0941,Uts_13A_047,usM2013,local,NA,TenoMainstem,NA
Uts_14_0y_0942,usF2013,Uts_13A_050,NA,local,NA,TenoMainstem
Uts_14_0y_0943,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0944,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0945,Uts_13A_047,Uts_13A_043,local,local,TenoMainstem,TenoMainstem
Uts_14_0y_0946,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_0947,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0948,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0949,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0950,Uts_13A_065,usM2013,local,NA,TenoMainstem,NA
Uts_14_0y_0951,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0952,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0953,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0954,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
