offspring,microsat_dam,microsat_sire,snp_dam,snp_sire
UTS_15_0Y_0454,UTS_14A_108,UTS_14A_103,id_miss,id_miss
UTS_15_0Y_0455,NA,UTS_14A_096,id_miss,id_miss
UTS_15_0Y_0456,UTS_14A_066,UTS_14A_106,id_miss,id_miss
UTS_15_0Y_0457,UTS_14A_108,UTS_14A_103,id_miss,id_miss
UTS_15_0Y_0458,NA,NA,id_miss,id_miss
UTS_15_0Y_0459,NA,NA,id_miss,id_miss
UTS_15_0Y_0460,NA,NA,id_miss,id_miss
UTS_15_0Y_0461,NA,NA,id_miss,id_miss
UTS_15_0Y_0462,NA,UTS_14A_096,id_miss,id_miss
UTS_15_0Y_0463,NA,NA,id_miss,id_miss
UTS_15_0Y_0464,NA,NA,id_miss,id_miss
UTS_15_0Y_0465,NA,UTS_14A_088,id_miss,id_miss
UTS_15_0Y_0466,NA,NA,id_miss,id_miss
UTS_15_0Y_0467,NA,NA,id_miss,id_miss
UTS_15_0Y_0468,NA,NA,id_miss,id_miss
UTS_15_0Y_0469,UTS_14A_066,UTS_14A_106,id_miss,id_miss
UTS_15_0Y_0470,NA,NA,id_miss,id_miss
UTS_15_0Y_0471,NA,NA,id_miss,id_miss
UTS_15_0Y_0472,NA,UTS_14A_068,id_miss,id_miss
UTS_15_0Y_0473,NA,NA,id_miss,id_miss
UTS_15_0Y_0474,NA,NA,id_miss,id_miss
UTS_15_0Y_0475,NA,NA,id_miss,id_miss
UTS_15_0Y_0476,NA,NA,id_miss,id_miss
UTS_15_0Y_0477,NA,NA,id_miss,id_miss
UTS_15_0Y_0478,NA,NA,id_miss,id_miss
UTS_15_0Y_0479,UTS_14A_066,UTS_14A_106,id_miss,id_miss
UTS_15_0Y_0480,NA,NA,id_miss,id_miss
